xmin,ymin,xmax,ymax,conf,cls,time
1204.4412771976286,1121.8,1403.5587228023714,1403.3999999999999,0.8002118468284607,0.0,23.0
1202.1985328336045,1113.4909302014978,1407.3401837957476,1403.8616149888055,0.7666016221046448,0.0,24.0
1198.020785988672,1101.5029991348242,1411.2734945896857,1404.0177304794047,0.8948289752006531,0.0,25.0
1198.502774726482,1102.1646359272909,1411.399513769709,1404.7859510241929,0.817106306552887,0.0,26.0
1198.8040813393088,1102.8338115964377,1411.2882220643658,1405.7560944535655,0.8610149621963501,0.0,27.0
1197.9549882964725,1097.7063854473713,1412.8821238267296,1405.3791270786533,0.8999713659286499,0.0,28.0
1198.1435465668371,1098.062419181377,1412.2622149928109,1405.9072070208342,0.853164553642273,0.0,29.0
1196.3170837649711,1090.9206143533297,1414.5857188433677,1406.7647464924917,0.9082014560699463,0.0,30.0
1198.3032338342205,1093.7235068721945,1413.4383442116232,1406.4022825053414,0.8954566121101379,0.0,31.0
1198.5881946670693,1093.6482290821448,1413.4571665314734,1407.580223793332,0.8683064579963684,0.0,32.0
1199.2689088569698,1093.7258317160502,1412.8747380966954,1407.3415354306737,0.8877346515655518,0.0,33.0
1198.6650117353206,1089.870213266431,1413.4998440084096,1407.2334138628364,0.9035820364952087,0.0,34.0
1201.2698979171205,1094.4381786217423,1412.2106190518566,1407.180475483814,0.8878829479217529,0.0,35.0
1202.2373151288323,1096.9607970631655,1410.4014189005704,1406.481044469605,0.9090752005577087,0.0,36.0
