xmin,ymin,xmax,ymax,conf,cls,time,area,x_center,y_center
319.0,3009.0,538.0,3295.0,0.9744200706481934,0.0,0.0,62634.0,428.5,3152.0
322.0216775054723,3015.0743801652893,535.846091089569,3294.132231404959,0.9801012277603148,0.0,1.0,59669.381397360434,428.93388429752065,3154.603305785124
317.0901738305604,3008.2347106079037,535.4125066724758,3293.1966124022665,0.978797435760498,0.0,2.0,62213.5471708141,426.2513402515181,3150.7156615050853
311.07978485462274,2993.92269264414,539.0107957155062,3292.165655534902,0.9805243015289308,0.0,3.0,67978.82001383626,425.0452902850645,3143.044174089521
308.81356629328,2991.484689530425,537.7095139004743,3291.851814668699,0.985081911087036,0.0,4.0,68752.81773857393,423.2615400968772,3141.668252099562
304.2561293114952,2980.414449540085,539.7247586280079,3291.0766171028454,0.9821481704711914,0.0,5.0,73151.19477649993,421.99044396975154,3135.7455333214652
302.1983949323464,2973.9593434498315,540.295063812267,3290.1411631479277,0.9825738072395324,0.0,6.0,75281.83803050838,421.24672937230673,3132.0502532988794
301.19638900608567,2969.8383816227542,540.8637415818523,3290.4967225311198,0.9850966334342957,0.0,7.0,76851.33564684562,421.03006529396896,3130.1675520769368
301.40444759609164,2971.2465450472914,538.5914862945316,3290.659653054217,0.9804696440696716,0.0,8.0,75760.64920962763,419.99796694531165,3130.953099050754
302.25488900019445,2968.730882902446,539.7296108062737,3290.746204363886,0.977638065814972,0.0,9.0,76470.4988813507,420.9922499032341,3129.738543633166
295.47057814031194,2978.592149658965,526.774507102054,3291.45781751826,0.863519012928009,0.0,10.0,72367.05821309441,411.122542621183,3135.0249835886125
293.3566084488318,2983.2859666352747,522.0937518929936,3291.74891349382,0.8471361398696899,0.0,11.0,70556.93332279196,407.7251801709127,3137.5174400645474
291.98211816188973,2984.464659790203,520.4362342515494,3291.865167644564,0.8642995357513428,0.0,12.0,70226.91130738052,406.2091762067196,3138.1649137173836
292.15414826795575,2985.640546953239,519.9629063640683,3291.2478335794503,0.8458201289176941,0.0,13.0,69620.01643143987,406.05852731601203,3138.444190266345
292.3476632472574,2986.8101358967137,519.8223463236229,3291.02150458582,0.8407113552093506,0.0,14.0,69200.3846807818,406.08500478544016,3138.915820241267
294.04944272308154,2992.6147683900176,517.4024818252876,3289.9591647920674,0.8783727288246155,0.0,17.0,66412.7745964089,405.72596227418455,3141.2869665910425
291.6106506212908,2986.041352304138,519.5361271169888,3289.8251960620764,0.843098521232605,0.0,18.0,69240.07734022281,405.5733888691398,3137.933274183107
288.00080135986985,2977.2460258138867,521.7068197079591,3289.777266987983,0.8866201043128967,0.0,19.0,73040.4319841844,404.8538105339145,3133.5116464009348
292.15831067496924,2989.67506056509,517.0677447683186,3289.1186246225857,0.6923967003822327,0.0,20.0,67347.68253506695,404.6130277216439,3139.396842593838
288.0273346837075,2974.199887783413,524.1821122793352,3290.4579263553524,0.8801000118255615,0.0,22.0,74685.84676178578,406.1047234815214,3132.3289070693827
288.5791506826159,2974.1036501057374,524.4543171039352,3290.826928422081,0.8629090189933777,0.0,23.0,74707.15598237337,406.5167338932755,3132.465289263909
287.564197513312,2970.832604077445,525.1481430271832,3290.962996649524,0.8826578259468079,0.0,24.0,76057.84174617901,406.3561702702476,3130.8978003634847
287.60164827752897,2969.6526450775045,525.6722868337534,3291.667065479134,0.8620139956474304,0.0,25.0,76662.17868932849,406.6369675556412,3130.6598552783194
295.9435362253018,2994.175462466703,517.5747150635623,3291.277579961844,0.8297955393791199,0.0,26.0,65847.0925357915,406.75912564443206,3142.7265212142734
292.050593321354,2982.153363627303,521.6095194923938,3290.437211328381,0.883099377155304,0.0,27.0,70769.3090341359,406.8300564068739,3136.295287477842
288.93145344560605,2972.694240984084,524.7816365543939,3290.798862428086,0.8729910850524902,0.0,28.0,75025.03321531953,406.856545,3131.746551706085
291.28374606282307,2978.235915709065,523.1179731247552,3290.937389277241,0.8577935695648193,0.0,29.0,72494.90442580526,407.2008595937891,3134.586652493153
291.5433095603911,2979.150518318591,522.48719474334,3290.990289425164,0.867477297782898,0.0,30.0,72017.48829391348,407.0152521518655,3135.0704038718777
290.43389280400214,2977.53630504027,522.1467738449226,3291.008894524211,0.8745545148849487,0.0,31.0,72635.63683668175,406.2903333244624,3134.2725997822404
292.14976581823606,2980.9036421507044,521.2154097419325,3291.0146417121505,0.8905179500579834,0.0,32.0,71035.77580236379,406.6825877800843,3135.9591419314274
290.6790083769211,2978.8983688730577,521.0148693405285,3291.0153746058813,0.869513750076294,0.0,33.0,71891.73923685313,405.8469388587248,3134.9568717394695
288.6021285999542,2972.2227217182176,523.1373677600925,3291.0146351676008,0.8887419104576111,0.0,34.0,74767.9376631692,405.86974818002335,3131.618678442909
291.7546437185408,2978.890491285288,521.3255535884202,3291.013504889756,0.8891807198524475,0.0,35.0,71654.36422450643,406.5400986534805,3134.951998087522
294.30547512362125,2986.8340917555624,518.6491053623512,3291.011838722933,0.8698448538780212,0.0,36.0,68240.33999249777,406.4772902429862,3138.922965239248
293.00343737320986,2983.1419847207385,519.91326111883,3291.0102891477186,0.8908442258834839,0.0,37.0,69858.34269438896,406.4583492460199,3137.0761369342285
