1,1,2542.25,714.19,276.05,224.41,0.999318,-1,-1,-1
1,2,4032.85,2208.32,302.41,261.39,0.998922,-1,-1,-1
1,3,3226.90,694.73,287.10,247.08,0.998582,-1,-1,-1
1,4,2866.98,516.98,302.52,240.81,0.998545,-1,-1,-1
1,5,4567.70,2396.87,298.61,273.83,0.998466,-1,-1,-1
1,6,3555.03,2129.67,315.46,248.25,0.998407,-1,-1,-1
1,7,3645.86,629.10,287.17,247.96,0.998252,-1,-1,-1
1,8,2183.04,1870.26,309.73,223.44,0.998186,-1,-1,-1
1,9,1992.55,1547.34,292.53,224.64,0.997890,-1,-1,-1
1,10,2964.38,2217.91,297.34,234.19,0.997823,-1,-1,-1
1,11,2406.46,1527.21,295.79,248.45,0.997598,-1,-1,-1
1,12,2575.98,1135.04,317.33,250.65,0.997541,-1,-1,-1
1,13,2823.98,2545.66,309.02,224.14,0.997526,-1,-1,-1
1,14,4270.14,1584.60,327.06,256.56,0.996763,-1,-1,-1
1,15,3113.51,2766.13,317.20,227.00,0.996734,-1,-1,-1
1,16,2674.98,1873.64,306.49,256.83,0.996696,-1,-1,-1
1,17,3464.45,1616.30,323.35,260.21,0.996559,-1,-1,-1
1,18,4149.13,2671.46,282.58,255.10,0.996529,-1,-1,-1
1,19,2986.61,3104.26,316.96,220.19,0.996475,-1,-1,-1
1,20,3095.19,1794.79,316.67,249.26,0.996449,-1,-1,-1
1,21,4365.90,1946.63,271.46,259.66,0.996163,-1,-1,-1
1,22,4533.96,2876.42,305.62,296.99,0.995756,-1,-1,-1
1,23,2161.73,2769.02,292.08,220.50,0.995705,-1,-1,-1
1,24,4018.68,724.12,311.51,261.02,0.995674,-1,-1,-1
1,25,3720.10,2651.79,298.32,274.36,0.995546,-1,-1,-1
1,26,3884.45,1741.33,281.07,263.45,0.995435,-1,-1,-1
1,27,1894.46,3062.67,321.17,194.39,0.994394,-1,-1,-1
1,28,1814.66,977.29,319.25,228.84,0.993998,-1,-1,-1
